keys,en,zh-CN
AlienMachine,AlienMachine,异形者机枪
AlienRifle,AlienRifle,异形者枪步
BabyZapZap,BabyZapZap,Baby冲锋枪
BoomBoi,BoomBoi,BoomBoi
EmpireShotgun,EmpireShotgun,帝国霰弹枪
BlasterRifle,BlasterRifle,冲击波步枪
ShotgunBlaster,ShotgunBlaster,冲击波霰弹枪
Sniper,Sniper,轻型狙击枪
,,
MAIN_UI_START,Start Game,开始游戏
MAIN_UI_SETTING,Settings,设置
MAIN_UI_QUIT,Quit,退出
,,
SETTING_LANGUAGE,language,语言
SETTING_BASIC,Basic,基础
LANGUAGE_EN,English,English
LANGUAGE_ZH,中文,中文
SETTING_SHAKE,Screenshake Intensity,屏幕振动幅度
SETTING_VOLUME,Volume,音量
,,
INVENTORY_TITLE,Inventory,背包
INVENTORY_AM_TITLE,Weapon attachments,武器配件
,,
INVENTORY_AM_UP,Installed on the firearm!,已安装至枪械上！
INVENTORY_AM_DOWN,Removed from the firearm!,已从枪械上移除！
,,
WEAPON_OPTICS,Optics,瞄准镜
WEAPON_MUZZLE,Muzzle,枪口
WEAPON_BARREL,Barrel,枪管
WEAPON_UNDERBARREL,Underbarrel,下挂装备
WEAPON_AMMUNITION,Ammunition,弹药
WEAPON_STOCK,Stock,枪托
WEAPON_TACTICAL,Tactical,战术装备
WEAPON_PERKS,Perks,特殊能力
,,
ASSAULT_RIFLES,Assault Rifle,突击步枪
SUBMACHINE_GUNSRELOAD,Submachine Gun,冲锋枪
MACHINE_GUNS,Machine Gun,机枪
SNIPER_RIFLES,Sniper Rifle,狙击步枪
SHOTGUNS,Shotgun,霰弹枪
LASER_WEAPONS,Laser weapon,激光武器
,,
TOOLTIP_TYPE,Type:,类型：
TOOLTIP_INFO,Please drag the attachments from the right sidebar and drop them here.,请拖动右侧栏中的配件放入此处
TOOLTIP_RANGE,Available Range:,可用范围：
,,
VICTORY IN THE ROUND,Victory in the round!,回合胜利！
PLEASE PURCHASE A WEAPON FIRST,Please purchase a weapon first!,请先购买一把武器！
REMAINING TIME,Remaining time:,剩余时间：
START_TIP,The monsters will attack from random directions. Please hold on until the end of the round!,怪物将从随机方向进攻，请坚持到回合结束！
GAME_START_BEGIN,The game is about to begin!,游戏即将开始！
BUY_WEAPON_TIP,Would you like to purchase a weapon:,是否购买武器：
BUY_AM_TIP,Would you like to purchase accessories:,是否购买配件：
BUY_OK,Purchase successful!,购买成功！
BUY_ERROR,Insufficient gold coins!,金币不足！
SUPPLY STATION,Supply station,补给站
DIFFICULTY LEVEL,Difficulty level,难度等级
WEAPON SHOP,Weapon shop,武器商店
ACCESSORY SHOP,Accessory shop,配件商店
REFRESH,Refresh,刷新
RESTORE HEALTH,Restore health,恢复体力
GOLD COST,Gold cost: 10,消耗金币：10
CLOSE,Close,关闭
GOLD_HAS,Gold:,金币：
OPEN,Pressed 'E',按E打开
OK,OK,确认
CANCEL,Cancel,取消
SURVIVAL TIME,Survival time,生存时间
DEFEAT ENEMIES,Defeat enemies,击败敌人
OBTAIN GOLD,Obtain gold,获得金币
SUPPLEMENT BULLETS,Supplement bullets,补充子弹
BULLETS2GOLD,1 gold = 20 bullets,1 金币 = 20发
AMMO_ALL,Remaining AMMO:,剩余子弹：
AMMO_OUT,Insufficient spare bullets.,备用子弹不足！
DEATH_TITLE,You have been defeated!,您已战败！
RESURRECT,Resurrect,复活
RESURRECT_TIP,Reviving requires 50 Gold,复活需要金币*50
,,
QUICKDRAW_MAGAZINE,Quickdraw Magazine,快速弹夹
EXTENDED RIFLE MAGAZINE,Extended Rifle Magazine,扩容步枪弹夹
UNIVERSAL EXTENDED MAGAZINE,Universal Extended Magazine,通用扩容弹夹
QUICK EXPANSION MAGAZINE,Quick Expansion Magazine,快速扩容弹夹
SHOTGUN SHELL POUCH,Shotgun shell pouch,霰弹枪子弹袋
MACHINE GUN MAGAZINE,Machine Gun Magazine,机枪弹夹
SUBMACHINE GUN MAGAZINE,Submachine Gun Magazine,冲锋枪弹夹
,,
INFO_EXTENDED RIFLE MAGAZINE,Magazine capacity +20.,弹夹容量+20
INFO_QUICKDRAW_MAGAZINE,Reload speed +20%,换弹速度+20%
INFO_MACHINE GUN MAGAZINE,Magazine Capacity +50.,弹夹容量+50
INFO_QUICK EXPANSION MAGAZINE,"Reload speed +20%
Magazine capacity +10","换弹速度+20%
弹夹容量+10"
INFO_SHOTGUN SHELL POUCH,"Reload speed +20%
Magazine capacity +5","弹夹容量+5
换弹速度+20%"
INFO_SUBMACHINE GUN MAGAZINE,Magazine capacity +19.,弹夹容量+19
INFO_UNIVERSAL EXTENDED MAGAZINE,Magazine capacity +10.,弹夹容量+10
